리뷰ID,상품명,옵션명,별점,작성일,리뷰내용
DEMO-0181,하이웨스트 데님 팬츠,중청 / M,4,2026-06-14,라인이 예쁘고 다리가 길어 보여요. 다음에도 살 것 같아요.
DEMO-0105,크롭 반팔 티셔츠,민트 / M,5,2026-06-14,목 늘어짐이 적어 보여서 좋습니다. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0085,썸머 린넨 셔츠,네이비 / L,2,2026-06-14,원단이 얇은 건 좋은데 내구성은 조금 걱정돼요.
DEMO-0140,세미오버핏 니트 가디건,브라운 / L,4,2026-06-14,가격은 좀 있지만 촉감이 좋아서 만족합니다. 다음에도 살 것 같아요.
DEMO-0307,베이직 롱 원피스,네이비 / L,2,2026-06-14,디자인은 예쁜데 기장이 생각보다 길어요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0340,경량 숏패딩,그레이 / M,4,2026-06-14,가볍고 따뜻한데 지퍼가 가끔 걸려요. 배송은 빨랐어요.
DEMO-0202,하이웨스트 데님 팬츠,블랙 / L,5,2026-06-13,색감이 예쁘고 데일리로 입기 좋습니다. 상세페이지를 꼭 보고 사세요.
DEMO-0201,하이웨스트 데님 팬츠,연청 / M,5,2026-06-13,라인이 예쁘고 다리가 길어 보여요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0304,베이직 롱 원피스,브라운 / M,4,2026-06-13,원피스는 예쁜데 키 작은 분들은 길이 확인해야 할 듯해요. 데일리로 입기 괜찮습니다.
DEMO-0030,데일리 와이드 슬랙스,블랙 / M,3,2026-06-13,바지는 예쁜데 허리가 남아서 한 치수 작게 가도 됐을 듯해요.
DEMO-0322,경량 숏패딩,카키 / L,5,2026-06-13,가벼운데 생각보다 따뜻해서 만족해요. 다음에도 살 것 같아요.
DEMO-0132,크롭 반팔 티셔츠,핑크 / M,1,2026-06-12,사진보다 색이 훨씬 어두워서 당황했어요.
DEMO-0087,썸머 린넨 셔츠,네이비 / L,1,2026-06-12,생각보다 비침이 심해서 단독으로 입기 어려워요.
DEMO-0152,세미오버핏 니트 가디건,그레이 / M,5,2026-06-12,가격은 좀 있지만 촉감이 좋아서 만족합니다. 상세페이지를 꼭 보고 사세요.
DEMO-0218,하이웨스트 데님 팬츠,연청 / S,1,2026-06-11,너무 작게 나왔어요. 허벅지가 껴서 활동하기 불편합니다.
DEMO-0225,하이웨스트 데님 팬츠,연청 / S,4,2026-06-11,정사이즈보다 여유 있게 보는 게 좋을 것 같습니다. 다음에도 살 것 같아요.
DEMO-0353,경량 숏패딩,블랙 / L,1,2026-06-11,지퍼가 자꾸 걸려서 입고 벗을 때 불편해요.
DEMO-0067,썸머 린넨 셔츠,화이트 / M,5,2026-06-10,원단이 얇고 시원해서 여름에 입기 좋아요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0146,세미오버핏 니트 가디건,브라운 / L,5,2026-06-10,가격은 좀 있지만 촉감이 좋아서 만족합니다. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0315,베이직 롱 원피스,블랙 / M,4,2026-06-10,심플한 원피스입니다. 길이는 꼭 확인하세요. 배송은 빨랐어요.
DEMO-0230,루즈핏 후드 집업,멜란지 / L,5,2026-06-10,가격 대비 퀄리티 좋아요. 상세페이지를 꼭 보고 사세요.
DEMO-0011,데일리 와이드 슬랙스,블랙 / S,5,2026-06-10,기본 슬랙스로 딱이에요. 셔츠랑 입으면 깔끔합니다. 다음에도 살 것 같아요.
DEMO-0337,경량 숏패딩,그레이 / M,4,2026-06-10,보온성 괜찮고 무게가 가벼워서 손이 자주 갑니다. 다음에도 살 것 같아요.
DEMO-0355,경량 숏패딩,카키 / L,2,2026-06-09,처음 받았을 때 충전재가 한쪽으로 몰려 있었어요.
DEMO-0312,베이직 롱 원피스,카키 / M,2,2026-06-08,기장이 너무 길어서 바로 입기 어려웠어요.
DEMO-0273,베이직 롱 원피스,카키 / M,5,2026-06-08,디자인이 심플해서 자주 손이 갈 것 같아요. 상세페이지를 꼭 보고 사세요.
DEMO-0258,루즈핏 후드 집업,크림 / M,4,2026-06-08,원단은 좋은데 품이 커서 체구 작은 분들은 사이즈 확인 필요해요. 포장은 깔끔했습니다.
DEMO-0252,루즈핏 후드 집업,멜란지 / L,3,2026-06-08,원단은 좋은데 품이 커서 체구 작은 분들은 사이즈 확인 필요해요. 다음에도 살 것 같아요.
DEMO-0121,크롭 반팔 티셔츠,아이보리 / M,3,2026-06-07,핏은 예쁜데 사진보다 색이 조금 어두워요. 다음에도 살 것 같아요.
DEMO-0124,크롭 반팔 티셔츠,아이보리 / S,3,2026-06-07,원단은 좋은데 아이보리는 비침이 조금 있습니다. 배송은 빨랐어요.
DEMO-0356,경량 숏패딩,아이보리 / M,2,2026-06-07,마감이 아쉬워서 가격 대비 조금 실망했어요.
DEMO-0110,크롭 반팔 티셔츠,블랙 / L,5,2026-06-06,핏이 예뻐서 여름에 자주 입을 것 같아요. 데일리로 입기 괜찮습니다.
DEMO-0136,세미오버핏 니트 가디건,블랙 / L,5,2026-06-06,소재가 부드럽고 까슬거림이 거의 없어요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0144,세미오버핏 니트 가디건,크림 / M,4,2026-06-06,두께감이 적당해서 간절기에 입기 좋습니다. 포장은 깔끔했습니다.
DEMO-0288,베이직 롱 원피스,카키 / M,5,2026-06-06,비침이 거의 없고 촉감도 괜찮아요. 배송은 빨랐어요.
DEMO-0247,루즈핏 후드 집업,네이비 / L,4,2026-06-06,안감이 부드러워서 자주 입게 됩니다. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0044,데일리 와이드 슬랙스,베이지 / M,3,2026-06-06,무난한 슬랙스예요. 특별히 나쁘진 않습니다. 데일리로 입기 괜찮습니다.
DEMO-0359,경량 숏패딩,블랙 / L,4,2026-06-06,경량 패딩이라 엄청 두껍진 않습니다. 데일리로 입기 괜찮습니다.
DEMO-0329,경량 숏패딩,블랙 / M,4,2026-06-06,부해 보이지 않고 짧은 기장이 예뻐요. 배송은 빨랐어요.
DEMO-0099,크롭 반팔 티셔츠,아이보리 / M,5,2026-06-05,목 늘어짐이 적어 보여서 좋습니다.
DEMO-0309,베이직 롱 원피스,블랙 / M,1,2026-06-05,사진보다 길고 무게감도 있어서 여름에는 답답할 수 있어요.
DEMO-0077,썸머 린넨 셔츠,베이지 / M,4,2026-06-04,핏은 좋은데 화이트는 비침이 좀 있어요. 이너 필수입니다. 상세페이지를 꼭 보고 사세요.
DEMO-0055,썸머 린넨 셔츠,화이트 / L,5,2026-06-04,색감이 은은하고 청바지랑 잘 어울립니다. 다음에도 살 것 같아요.
DEMO-0302,베이직 롱 원피스,브라운 / M,5,2026-06-04,키 160 기준 발목까지 와서 수선 고민 중이에요.
DEMO-0263,루즈핏 후드 집업,멜란지 / M,1,2026-06-04,생각보다 너무 커서 옷에 파묻히는 느낌이에요.
DEMO-0300,베이직 롱 원피스,블랙 / S,3,2026-06-03,전체적으로 만족하지만 기장 옵션이 있으면 좋겠어요. 데일리로 입기 괜찮습니다.
DEMO-0256,루즈핏 후드 집업,네이비 / L,3,2026-06-03,편하긴 한데 생각보다 많이 커요. 정핏 원하면 한 치수 작게 가도 될 듯해요.
DEMO-0109,크롭 반팔 티셔츠,아이보리 / M,5,2026-06-02,크롭 기장이 딱 예쁘고 하이웨스트랑 잘 맞아요.
DEMO-0122,크롭 반팔 티셔츠,블랙 / L,3,2026-06-02,색상은 화면이랑 살짝 다르지만 옷 자체는 괜찮아요.
DEMO-0306,베이직 롱 원피스,브라운 / M,3,2026-06-02,전체적으로 만족하지만 기장 옵션이 있으면 좋겠어요. 상세페이지를 꼭 보고 사세요.
DEMO-0351,경량 숏패딩,그레이 / M,3,2026-06-02,배송은 빨랐는데 비닐 포장이 조금 약했어요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0135,크롭 반팔 티셔츠,아이보리 / M,4,2026-06-01,무난한 티셔츠입니다. 색상은 상세컷 참고하세요. 배송은 빨랐어요.
DEMO-0284,베이직 롱 원피스,브라운 / M,5,2026-06-01,원단이 부드럽고 몸에 붙지 않아서 편해요. 상세페이지를 꼭 보고 사세요.
DEMO-0041,데일리 와이드 슬랙스,블랙 / M,1,2026-06-01,사진보다 핏이 덜 잡혀 보여서 아쉬웠어요.
DEMO-0005,데일리 와이드 슬랙스,베이지 / M,5,2026-06-01,색감이 차분해서 여러 상의랑 잘 어울려요. 다음에도 살 것 같아요.
DEMO-0116,크롭 반팔 티셔츠,아이보리 / S,2,2026-05-31,색상은 화면이랑 살짝 다르지만 옷 자체는 괜찮아요. 다음에도 살 것 같아요.
DEMO-0169,세미오버핏 니트 가디건,크림 / M,3,2026-05-31,색은 예쁜데 관리가 쉬운 옷은 아닌 것 같아요. 포장은 깔끔했습니다.
DEMO-0019,데일리 와이드 슬랙스,베이지 / M,3,2026-05-31,기본 슬랙스로 딱이에요. 셔츠랑 입으면 깔끔합니다. 다음에도 살 것 같아요.
DEMO-0115,크롭 반팔 티셔츠,블랙 / L,2,2026-05-30,핏은 예쁜데 사진보다 색이 조금 어두워요.
DEMO-0080,썸머 린넨 셔츠,화이트 / M,3,2026-05-30,가볍고 좋은데 단추 마감은 조금 아쉬워요. 다음에도 살 것 같아요.
DEMO-0285,베이직 롱 원피스,블랙 / S,4,2026-05-30,디자인이 심플해서 자주 손이 갈 것 같아요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0232,루즈핏 후드 집업,멜란지 / L,5,2026-05-30,넉넉하게 입기 좋고 후드 모양도 잘 잡혀요. 데일리로 입기 괜찮습니다.
DEMO-0018,데일리 와이드 슬랙스,블랙 / M,5,2026-05-30,와이드핏인데 너무 부해 보이지 않아서 마음에 들어요. 다음에도 살 것 같아요.
DEMO-0343,경량 숏패딩,그레이 / M,5,2026-05-30,옷은 마음에 드는데 지퍼 부분 검수가 필요해 보여요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0350,경량 숏패딩,블랙 / L,3,2026-05-30,가볍고 좋은데 소매 마감이 살짝 아쉽습니다. 데일리로 입기 괜찮습니다.
DEMO-0206,하이웨스트 데님 팬츠,연청 / M,4,2026-05-29,다리 라인은 예쁜데 허벅지가 타이트해서 사이즈 업 추천해요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0123,크롭 반팔 티셔츠,블랙 / L,5,2026-05-29,기장은 마음에 드는데 민트 색이 생각보다 탁해요.
DEMO-0314,베이직 롱 원피스,브라운 / M,3,2026-05-29,롱 기장이라 키에 따라 느낌이 많이 다를 것 같아요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0236,루즈핏 후드 집업,블랙 / M,4,2026-05-29,가격 대비 퀄리티 좋아요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0320,경량 숏패딩,그레이 / M,4,2026-05-29,가격은 조금 있지만 가벼움이 마음에 들어요. 상세페이지를 꼭 보고 사세요.
DEMO-0324,경량 숏패딩,아이보리 / M,5,2026-05-29,출퇴근용으로 가볍게 입기 좋아요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0113,크롭 반팔 티셔츠,민트 / M,4,2026-05-28,가격 대비 괜찮은 기본 티셔츠예요. 배송은 빨랐어요.
DEMO-0277,베이직 롱 원피스,네이비 / L,5,2026-05-28,라인이 깔끔하고 하나만 입어도 차려입은 느낌이에요.
DEMO-0342,경량 숏패딩,그레이 / M,3,2026-05-28,보온성은 좋은데 포장이 조금 눌려서 왔어요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0203,하이웨스트 데님 팬츠,진청 / L,3,2026-05-27,원단이 탄탄해서 핏이 잘 잡혀요. 상세페이지를 꼭 보고 사세요.
DEMO-0191,하이웨스트 데님 팬츠,연청 / S,4,2026-05-27,라인이 예쁘고 다리가 길어 보여요. 배송은 빨랐어요.
DEMO-0127,크롭 반팔 티셔츠,블랙 / L,3,2026-05-27,핏은 예쁜데 사진보다 색이 조금 어두워요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0172,세미오버핏 니트 가디건,그레이 / M,3,2026-05-27,부드럽고 예쁜데 보풀이 조금 생길 것 같아요. 데일리로 입기 괜찮습니다.
DEMO-0298,베이직 롱 원피스,블랙 / M,4,2026-05-27,원피스는 예쁜데 키 작은 분들은 길이 확인해야 할 듯해요. 데일리로 입기 괜찮습니다.
DEMO-0100,크롭 반팔 티셔츠,블랙 / L,4,2026-05-26,소재가 부드럽고 피부에 까슬거리지 않아요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0178,세미오버핏 니트 가디건,오트밀 / M,2,2026-05-26,세탁 후 모양이 변해서 아쉬웠습니다.
DEMO-0171,세미오버핏 니트 가디건,크림 / M,3,2026-05-26,처음엔 좋았는데 몇 번 입으니 밑단이 조금 늘어났어요. 포장은 깔끔했습니다.
DEMO-0004,데일리 와이드 슬랙스,베이지 / M,5,2026-05-26,구김이 생각보다 덜하고 하루 종일 입어도 편했어요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0031,데일리 와이드 슬랙스,블랙 / M,4,2026-05-26,핏은 예쁜데 허리가 살짝 커요. 벨트하면 괜찮습니다. 데일리로 입기 괜찮습니다.
DEMO-0333,경량 숏패딩,블랙 / M,5,2026-05-26,색감이 깔끔하고 여러 바지랑 잘 맞아요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0197,하이웨스트 데님 팬츠,블랙 / L,5,2026-05-25,색감이 예쁘고 데일리로 입기 좋습니다.
DEMO-0104,크롭 반팔 티셔츠,아이보리 / S,4,2026-05-25,핏이 예뻐서 여름에 자주 입을 것 같아요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0154,세미오버핏 니트 가디건,블랙 / L,4,2026-05-25,소재가 부드럽고 까슬거림이 거의 없어요.
DEMO-0025,데일리 와이드 슬랙스,블랙 / S,4,2026-05-25,핏은 예쁜데 허리가 살짝 커요. 벨트하면 괜찮습니다. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0043,데일리 와이드 슬랙스,블랙 / M,1,2026-05-25,기장이 너무 길어서 바로 입기는 힘들었어요.
DEMO-0126,크롭 반팔 티셔츠,아이보리 / S,3,2026-05-24,핏은 만족인데 컬러가 기대랑 달라서 아쉬워요. 상세페이지를 꼭 보고 사세요.
